"No.","Time","Source","Destination","Protocol","Length","Info"
"140","9.897564","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","286","Standard query response 0x0000 PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa OPT"
"141","10.101960","192.168.1.16","224.0.0.251","MDNS","154","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"142","10.102392","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","174","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"143","10.306724","192.168.1.16","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"144","10.512363","192.168.1.16","224.0.0.251","MDNS","219","Standard query 0x0000 ANY iPhone di Alessandro._rdlink._tcp.local, ""QU"" question ANY iPhone-di-Alessandro.local, ""QU"" question SRV 0 0 49154 iPhone-di-Alessandro.local AAAA fe80::187d:cdd4:cfa1:436a A 192.168.1.16 OPT"
"145","10.512363","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","239","Standard query 0x0000 ANY iPhone di Alessandro._rdlink._tcp.local, ""QU"" question ANY iPhone-di-Alessandro.local, ""QU"" question SRV 0 0 49154 iPhone-di-Alessandro.local AAAA fe80::187d:cdd4:cfa1:436a A 192.168.1.16 OPT"
"146","10.539822","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"147","10.717617","192.168.1.16","224.0.0.251","MDNS","219","Standard query 0x0000 ANY iPhone di Alessandro._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Alessandro.local, ""QM"" question SRV 0 0 49154 iPhone-di-Alessandro.local AAAA fe80::187d:cdd4:cfa1:436a A 192.168.1.16 OPT"
"148","10.717617","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","239","Standard query 0x0000 ANY iPhone di Alessandro._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Alessandro.local, ""QM"" question SRV 0 0 49154 iPhone-di-Alessandro.local AAAA fe80::187d:cdd4:cfa1:436a A 192.168.1.16 OPT"
"149","10.921425","192.168.1.16","224.0.0.251","MDNS","219","Standard query 0x0000 ANY iPhone di Alessandro._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Alessandro.local, ""QM"" question SRV 0 0 49154 iPhone-di-Alessandro.local AAAA fe80::187d:cdd4:cfa1:436a A 192.168.1.16 OPT"
